#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-10 00:34
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "hot+outside"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,09,20,56,28,citystate,mountain home,ar,36.3353449,-92.3851593,2156136229,873282671941636097,0,1
Fri,2017,6,09,20,50,00,failure,NA,NA,NA,NA,16561306,87328104623767552,0,1
Fri,2017,6,09,20,49,28,citystate,las vegas,nv,36.1749705,-115.137223,146650148,873280910799626240,0,1
Fri,2017,6,09,20,46,06,failure,NA,NA,NA,NA,1066526090,87328006229590016,0,1
Fri,2017,6,09,20,39,45,failure,NA,NA,NA,NA,1145906497,87327846316722176,0,1
Fri,2017,6,09,20,39,15,citystate,winter park,fl,28.5999998,-81.3392352,22939542,873278340668502016,0,1
Fri,2017,6,09,20,37,46,citystate,fontana,ca,34.0922335,-117.435048,255805023,873277966016405504,0,1
Fri,2017,6,09,20,32,07,failure,NA,NA,NA,NA,2601553358,87327654266269286,0,1
Fri,2017,6,09,20,29,24,failure,NA,NA,NA,NA,447291916,87327585849622528,0,1
Fri,2017,6,09,20,27,25,failure,NA,NA,NA,NA,4214813592,87327536309438873,0,1
Fri,2017,6,09,20,25,43,failure,NA,NA,NA,NA,362034298,87327493424358195,0,1
Fri,2017,6,09,20,23,33,citystate,orlando,fl,28.5383355,-81.3792365,1255320290,873274388245774337,0,1
Fri,2017,6,09,20,22,15,failure,NA,NA,NA,NA,713197429,87327406272594329,0,1
Fri,2017,6,09,20,15,19,citystate,scottsdale,az,33.5092103,-111.8990327,476138339,873272315752189953,0,1
Fri,2017,6,09,20,13,15,citystate,amarillo,tx,35.2219971,-101.8312969,1579127551,873271795645853698,0,1
Fri,2017,6,09,20,13,12,citystate,austin,tx,30.267153,-97.7430608,23695531,873271785478905857,0,1
Fri,2017,6,09,20,09,36,failure,NA,NA,NA,NA,825706433278799872,87327087634255052,0,1
Fri,2017,6,09,20,05,08,llprofile,unk,unk,27.220232,-80.795969,15738583,87326975221449933,0,1
Fri,2017,6,09,20,04,04,knowncity,chicago,unk,41.88,-87.62,2604859080,87326948594335744,0,1
Fri,2017,6,09,20,01,39,failure,NA,NA,NA,NA,870054137156706304,87326887845276876,0,1
Fri,2017,6,09,20,00,46,citystate,houston,tx,29.7632836,-95.3632715,1154862452,873268654716137472,0,1
Fri,2017,6,09,19,59,26,failure,NA,NA,NA,NA,125148338,87326831960806604,0,1
Fri,2017,6,09,19,58,05,citystate,san francisco,ca,37.7749295,-122.4194155,305302440,873267979785576448,0,1
Fri,2017,6,09,19,57,57,failure,NA,NA,NA,NA,2824290643,87326794801786470,0,1
Fri,2017,6,09,19,54,42,failure,NA,NA,NA,NA,286163003,87326712740651417,0,1
Fri,2017,6,09,19,50,10,failure,NA,NA,NA,NA,2927469435,87326598833423155,0,1
Fri,2017,6,09,19,49,51,failure,NA,NA,NA,NA,66077373,87326590853338726,0,1
Fri,2017,6,09,19,48,14,citystate,pearsall,tx,28.8921939,-99.095033,1602615428,873265500142186496,0,1
Fri,2017,6,09,19,44,49,citystate,atlanta,ga,33.7489954,-84.3879824,1611920402,873264642163957760,0,1
Fri,2017,6,09,19,42,08,citystate,mcallen,tx,26.2034071,-98.2300124,789294316153737216,873263963949203456,0,1
Fri,2017,6,09,19,34,04,failure,NA,NA,NA,NA,17013270,87326193341091020,0,1
Fri,2017,6,09,19,32,14,citystate,omaha,ne,41.2586096,-95.937792,791285609952260096,873261475581878273,0,1
Fri,2017,6,09,19,29,04,knowncity,san antonio,unk,29.42,-98.5,740513757260972032,87326067691089920,0,1
Fri,2017,6,09,19,28,24,citystate,paradise,ca,39.7596061,-121.6219177,287430326,873260509558169600,0,1
Fri,2017,6,09,19,22,14,knowncity,philly,unk,39.95,-75.17,265639028,87325895617240268,0,1
Fri,2017,6,09,19,21,24,citystate,starkville,ms,33.4503998,-88.8183872,297763661,873258746922897408,0,1
Fri,2017,6,09,19,21,06,citystate,queens,ny,40.7498243,-73.7976337,784222046951710721,873258674093010945,0,1
Fri,2017,6,09,19,19,31,failure,NA,NA,NA,NA,488926183,87325827457715404,0,1
Fri,2017,6,09,19,10,00,knowncity,nyc,unk,40.72,-74,333730426,87325587940308172,0,1
Fri,2017,6,09,19,09,12,failure,NA,NA,NA,NA,328706135,87325567956127334,0,1
Fri,2017,6,09,19,06,03,failure,NA,NA,NA,NA,2238378534,87325488331455283,0,1
Fri,2017,6,09,19,04,15,failure,NA,NA,NA,NA,810663891550302209,87325443038427955,0,1
Fri,2017,6,09,19,02,54,failure,NA,NA,NA,NA,432088222,87325409298608538,0,1
Fri,2017,6,09,19,02,23,geo,unk,unk,41.8856875,-87.627954,314023023,87325396056347852,0,1
Fri,2017,6,09,19,00,05,citystate,san bernardino,ca,34.1083449,-117.2897652,745107482746327040,873253385163735041,0,1
Fri,2017,6,09,18,59,30,knowncity,kansas city,unk,39.1,-94.58,1641837841,87325323829169356,0,1
Fri,2017,6,09,18,57,13,citystate,toledo,oh,41.6639383,-83.555212,1155655765,873252659989491712,0,1
