#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:43
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "tractor+trailer"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,23,12,37,53,failure,NA,NA,NA,NA,2861771,87823062956494029,0,1
Fri,2017,6,23,12,37,39,failure,NA,NA,NA,NA,2861771,87823056956133376,0,1
Fri,2017,6,23,12,37,08,citystate,raleigh,nc,35.772096,-78.6386145,219389777,878230441915961344,0,1
Fri,2017,6,23,12,34,13,citystate,cleveland,oh,41.4994954,-81.6954088,1442747576,878229705538797570,0,1
Fri,2017,6,23,12,19,35,citystate,dallas,tx,32.7830556,-96.8066667,61257277,878226025385267200,0,1
Fri,2017,6,23,12,10,05,failure,NA,NA,NA,NA,2297059165,87822363195999436,0,1
Fri,2017,6,23,12,05,26,knowncity,san francisco bay area ca,unk,37.77,-122.42,55352474,87822246352760422,0,1
Fri,2017,6,23,12,05,24,knowncity,st paul mn,unk,44.95,-93.2,2151245148,87822245601567129,0,1
Fri,2017,6,23,12,05,14,geo,unk,unk,27.7458626,-81.5306313,148803529,87822241465563955,0,1
Fri,2017,6,23,12,04,12,geo,unk,unk,42.7477661,-73.760537,24372825,87822215112321433,0,1
Fri,2017,6,23,12,02,14,geo,unk,unk,28.0482439,-81.9916586,23493191,87822165755440742,0,1
Fri,2017,6,23,11,59,11,geo,unk,unk,28.2338173,-81.5047772,23510169,87822088887686758,0,1
Fri,2017,6,23,11,57,13,geo,unk,unk,39.9693,-86.1650024,23501237,87822039462843596,0,1
Fri,2017,6,23,11,40,22,knowncity,philadelphia,unk,39.95,-75.17,3250877384,87821615504278323,0,1
Fri,2017,6,23,11,35,57,citystate,memphis,tn,35.1495343,-90.0489801,2151837618,878215043627745280,0,1
Fri,2017,6,23,11,32,49,citystate,memphis,tn,35.1495343,-90.0489801,3418190414,878214254440009729,0,1
Fri,2017,6,23,11,04,48,citystate,raleigh,nc,35.772096,-78.6386145,380877652,878207203186003970,0,1
Fri,2017,6,23,11,02,17,knowncity,philadelphia,unk,39.95,-75.17,57976284,87820657104966451,0,1
Fri,2017,6,23,10,58,35,knowncity,nyc,unk,40.72,-74,79162897,87820563819035443,0,1
Fri,2017,6,23,10,44,12,citystate,philadelphia,pa,39.952335,-75.163789,16083576,878202019491840000,0,1
Fri,2017,6,23,10,42,37,failure,NA,NA,NA,NA,78110149,87820162244639539,0,1
Fri,2017,6,23,10,39,57,knowncity,nyc,unk,40.72,-74,79162897,87820095204125491,0,1
Fri,2017,6,23,10,22,45,failure,NA,NA,NA,NA,78110149,87819662413608550,0,1
Fri,2017,6,23,10,18,18,failure,NA,NA,NA,NA,580159566,87819550419820544,0,1
Fri,2017,6,23,10,17,04,knowncity,philadelphia,unk,39.95,-75.17,246288568,87819519106845900,0,1
Fri,2017,6,23,10,10,43,failure,NA,NA,NA,NA,78110149,87819359247229337,0,1
Fri,2017,6,23,09,57,04,knowncity,san diego,unk,32.72,-117.17,2235156499,87819015773158195,0,1
Fri,2017,6,23,09,57,04,knowncity,detroit,unk,42.33,-83.05,2238993547,87819015753022669,0,1
Fri,2017,6,23,09,57,03,knowncity,omaha,unk,41.25,-96,2281167133,87819015465712844,0,1
