pid,robot,inference,human_tasks,robot_tasks,both_tasks,total_tasks
8a7de72d,reactive,bayesian,19,15,5,39
8b35b0c2,fixed,bayesian,20,12,7,39
8b35b0c2,predictive,bayesian,20,16,3,39
8b35b0c2,reactive,bayesian,21,12,6,39
8f26e03d,fixed,bayesian,22,6,11,39
8f26e03d,predictive,bayesian,24,8,7,39
8f26e03d,reactive,bayesian,18,7,14,39
8fbe686a,fixed,oracle,20,15,4,39
8fbe686a,predictive,oracle,16,23,0,39
8fbe686a,reactive,oracle,18,16,5,39
906bef70,fixed,oracle,18,14,7,39
906bef70,predictive,oracle,22,16,1,39
906bef70,reactive,oracle,16,20,3,39
907a8e65,fixed,oracle,17,16,6,39
907a8e65,predictive,oracle,18,20,1,39
907a8e65,reactive,oracle,20,17,2,39
92070651,fixed,oracle,20,11,8,39
92070651,predictive,oracle,25,14,0,39
92070651,reactive,oracle,20,14,5,39
9460c893,fixed,bayesian,20,9,10,39
9460c893,predictive,bayesian,21,13,5,39
9460c893,reactive,bayesian,20,10,9,39
9779a922,fixed,bayesian,22,8,9,39
9779a922,predictive,bayesian,22,11,6,39
9779a922,reactive,bayesian,22,8,9,39
9a174a7a,fixed,bayesian,20,10,9,39
9a174a7a,predictive,bayesian,14,22,3,39
9a174a7a,reactive,bayesian,18,16,5,39
9d6f8fdf,fixed,bayesian,21,9,9,39
9d6f8fdf,predictive,bayesian,23,12,4,39
9d6f8fdf,reactive,bayesian,23,13,3,39
9e74a973,fixed,oracle,18,12,9,39
9e74a973,predictive,oracle,21,16,2,39
9e74a973,reactive,oracle,22,11,6,39
9f0c0deb,fixed,bayesian,26,6,7,39
9f0c0deb,predictive,bayesian,27,7,5,39
9f0c0deb,reactive,bayesian,23,11,5,39
9fe9f402,fixed,bayesian,17,13,9,39
9fe9f402,predictive,bayesian,20,15,4,39
9fe9f402,reactive,bayesian,21,12,6,39
a0c0d12b,fixed,oracle,19,16,4,39
a0c0d12b,predictive,oracle,25,13,1,39
a0c0d12b,reactive,oracle,19,13,7,39
a4284de0,fixed,oracle,21,11,7,39
a4284de0,predictive,oracle,27,12,0,39
a4284de0,reactive,oracle,24,12,3,39
a886348a,fixed,oracle,21,9,9,39
a886348a,predictive,oracle,32,7,0,39
a886348a,reactive,oracle,22,10,7,39
a8e42b67,fixed,bayesian,18,10,11,39
a8e42b67,predictive,bayesian,19,16,4,39
a8e42b67,reactive,bayesian,17,15,7,39
a9bbf2d9,fixed,bayesian,19,11,9,39
a9bbf2d9,predictive,bayesian,21,15,3,39
a9bbf2d9,reactive,bayesian,17,11,11,39
aae64159,fixed,oracle,23,7,9,39
aae64159,predictive,oracle,29,9,1,39
aae64159,reactive,oracle,20,11,8,39
ad685ff8,fixed,oracle,22,10,7,39
ad685ff8,predictive,oracle,29,9,1,39
ad685ff8,reactive,oracle,22,10,7,39
ae1661b6,fixed,oracle,20,10,9,39
ae1661b6,predictive,oracle,22,16,1,39
